review,prediction
"property best locations restaurant 's cocktail bars ! far shopping centre . rooms spacious . accessibility tea , coffee biscuits !",1.0
breakfast limited.. pillows comfortable..,0.0
proximity city centre great ! lovely staff ! great rooms ! spacious comfortable ! !,1.0
parking hotel could explained better would used valet parking explained us,1.0
expensive got . noisy city night inconsiderate boy racers ! enough tea coffee milk room fab breakfast staff made ! !,1.0
stairs hotel annoying . floor constantly wait age lift . fault,1.0
situated great area . convenient needed . leisure facilities excellent apart jacuzzi order time . great staff welcoming atmosphere . amazing bars even better restaurants near .,1.0
"staff friendly helpful , pointing us right direction drawing map us event evening . accommodation gorgeous , clean comfortable . breakfast tasty , everything 'd want .",1.0
staff every helpful friendly ! good location town ! around pleased !,1.0
"main restaurant pricey , considering many dining options competitors town minutes walk . would liked eaten hotel convenience tired journey . choose eat elsewhere another steakhouse due cost .",1.0
bank air cond . units noisy roof annexe opp room affecting enjoyment dining room cold,0.0
"rooms took long time cool . hen hotel staff aware , complimentary bottle wine would completed experience .",1.0
pay parking . hot tub order stay .,1.0
breakfast expensive worth price would negative stay everything else lovely enjoyable,1.0
friendly staff comfy stay rooms fairly priced . would love go stay use hotels facilities stay short services received . many thanks fantastic stay .,1.0
lovely rooms lots noise loud music think nite club n't get much sleep,1.0
"didnt like baby swim lessons wwere held pool morning , swim spoilt instructor singing baby songs loud lots shouting spalshing , check lunch time would enjoyed much better nice relaxing swim , maybe lessons afternoon allow guests enjoy peaceful swim check .",1.0
"clean hotel , centrally located friendly staff",1.0
great location close lively pubs clubs👍🏻,1.0
breakfast good good know still get free brekky even exec room saturday morning . well paul concierge helpful,1.0
"wifi quite rubbish honest , poor connection . apart everthing great",1.0
"room stayed spacious , clean bed lovely sleep ! location excellent within walking distance bars wanted visit . ever visit leeds would definitely stay hotel : - )",1.0
room lovely although ended twin beds said hotel full . said booked deluxe queen . said 's preference,1.0
excellent location ( visiting university ) friendly staff . room v good size soundproofed n't hear outside traffic .,1.0
prices fluctuate much one week another ! sometimes times room .,1.0
"breakfast cost extra ( full menu ! ) slow come . ordered taxi took age come , n't clear destination ( leeds university main entrance , heaven 's sake ) leaving us anxious missing engagement .",1.0
asked extra blanket came straight away . room heating simple effective . staff universally cheerful helpful .,1.0
room front hotel overlooking entrance . reason car continued use horn around . accept hotelcan nothing . spoiled stay .,1.0
rooms lovely location handy !,0.0
"location town , two double beds instead put , valet service car .",1.0
heat hotel hot . wi-fi free lower budget hotels . sanitary towel floating small pool ! !,1.0
"excellent breakfast . everything fresh piping hot . friendly staff dining room . complimentary wine strawberries delivered arrival celebrate anniversary . clean room . lovely atmosphere bar , restaurant reception areas . great views . easy access train station .",1.0
hotel car park . recommend use trinity car park nearby actually away . trinity car park site security understand . hotel stamp ticket discount carparking charge .,1.0
"first floor bar . bit noisy , went quiet midnight .",1.0
"good response requests , also car park deal good reason stay central location .",1.0
great size room amazingly comfy bed ! great facilities around hotel friendly staff ! perfect location !,1.0
lots noise night outside floor front building due court yard lively crowd outside noisy late night .,1.0
breakfast choice poor bacon left mushroom tasted like tin muchrooms ! continental poor choice ... . disappointed,1.0
gorgeous hotel 's location allows quiet even though 's middle city centre . staff extremely friendly polite . concierge desk could helpful taxi 's etc . beds warm comfortable . extremely grateful room temperature control consistently degrees outside stay . perfect city centre location . overall excellent stay .,1.0
"tried pay credit card phone arrival submit form email first meant security , think less secure details hard copy lot messing details could taken via phone .",1.0
staff reception really friendly quick checkin . room spacious comfortable bed pillows .,1.0
noise square outside - contractors associated hotel,1.0
"gym might main facility used felt small , little uncomfortable weights especially people area . room slightly odd smell might windows room left wide open yet curtains closed - something would want leaving room valuables , however , due curtains closed n't realise later traffic noise getting louder . bathroom could updated comfortable enough .",1.0
aircon room work . got electrical heater worm room . heater helped solving issue,0.0
room service efficient good standard food . sole female guest liked sent female staff . business facilities room meant could work .,1.0
bedroom bathroom little dated . noise bar loud early hours even though three floors,1.0
"bed comfortable , staff reception ( dealt ) excellent , breakfast .",1.0
"spa bad way , dirty floors water drinking tank rusting away . changing rooms filthy loads people complaining . n't visit spa everywhere else high standard clean spa area needs work",1.0
"initial check bit rough without going much detail told park wrong car park , told one room booked two & resolved rooms different floors unacceptable year olds us . got sorted lovely time n't v good start .",1.0
"fantastic breakfast location perfect right city centre next shops , restaurants bars !",1.0
swimming pool n't open disappointing,0.0
advised get car park ticket stamped order receive discount .,1.0
bed comfy location excellent . staff friendly .,1.0
n't fridge room fairly disappointing 'd took drinks enjoy going celebrate new year .,1.0
"staff lovely enjoyed bar new year 's eve left , bar staff great lovely atmosphere .",1.0
staff helpful friendly . enjoyed leisure facilities .,1.0
use hotel pool one reasons booked property sadly action trip .,1.0
room like office hard looking furniture dark,1.0
given disabled room bath booked queen suite .,0.0
"bed really uncomfortable , room door kept opening closing properly due wind put trainers door stop opening . bathroom hurrendous , came back night town toilet fag ends bottom water n't used sfternoon .",1.0
"everything . wifi u ran extra data normal bill , everything said last question questionable , got accommodation kind taxi driver waited get answer owners ring come collect take room , ask right questions get answers .",1.0
"breakfast stated paid ! ! , tea coffee stated lock valuables privacy curtain made mop pegs could n't wait get , plus woman met n't clue saying ! !",1.0
"absolutely filthy , light hearted person . illegal charge people night filthy place , feel robbed ! ! ! . disappointed next time think twice use booking.com .",1.0
booked double bed shared dormitory get one bunk bed.the room cramped space lounge expecting guest house.the sides bath lot black mould good.it place spend much time limited space.also name even correct number guest house difficult find check lot later every accommodation years,1.0
staff speak english . room bathroom filthy full room bin previous occupier . bed sheets floor dirty . staff planned leave final check time given email made feel guilty making stay time . key given property leave re-enter without arranging cleaner . heard rat/mouse night . walls paper thin . room cold . taxi driver told would wait found property car park ( difficult find ) area known unsafe .,1.0
"room right outside kitchen , anyone could walk room go kitchen , also anyone could walk room anytime go back door . made uncomfortable sleepless night , people walking . privacy curtain around bed , felt like girl taken film trafficked shower luke warm light pressure house cluttered dirty , needs good clean clear",1.0
"nothing like guest house speak address indicated . number door , nobody phone called around place . scam far concerned . avoid cost .",1.0
nothing staff rude tried charging extra money saying booking.com collect part paymentwhen case,1.0
"unit inside private residential area private access leading city centre . takes minute walk city centre , convenient . unit bright , clean , homely beds comfortable . almost everything kitchen sitting area need holiday . shower strong bathroom spacious . nick good host . prepared basket food apples banana , chocolates , tea bags ... enjoy stay excellent value money .",1.0
"great location , well finished apartment great views city . nick quick reply questions collecting keys really easy . would definitely recommend apartment stay .",1.0
apartment modern comfortable . great proximity city .,1.0
"modern like home home , everything would need beds comfortable.the kitchen well equipped dishwasher great bonus",1.0
apartment home home beautiful comfortable . excellent value money,1.0
beds comfortable flat spotless real home home,1.0
"welcome pack , instructions car park get flat fantastic ! ! ease picking keys getting flat great totally stress free .",1.0
"apartment great location - really central good walking distance centre . clean modern , really lovely apartment stay .",1.0
"thing would liked later check . little early , guess 's quite standard across hotels/apartments",1.0
place clean tidy comfortable beds good view,1.0
maybe information apartment areas city centre nice bars & restaurants . possibly map find decent establishments . two days & never found first day bit hit & miss !,1.0
"apartment well presented everything need days stay . welcome pack greatly appreciated . owner meeting us property keys nice welcome & made easier collect keys elsewhere ! plenty choice shopping , museums etc .",1.0
apartment absolutely beautiful clean . hosts john nick available telephone helpful . parking car available basement . useful . left lovely welcome fruit basket chocolate biscuits .,1.0
"excellent stay . room comfortable clean , facilities good welcome pack great extra touch . really enjoyed stay",1.0
"property fully equipped min walk train station . apartment extremely clean welcome basket teas , coffees fruits lovely touch .",1.0
property clean well insulated noise .,1.0
good location . excellent facilities . stayed friends blast ! booked return soon !,1.0
rooms worth cost . towels bath robes seem old tired . mini bar empty sign saying call reception want filled ! 've never known happen .,1.0
"reveption staff , location , room service , nice entrance .",1.0
staff understanding moved us quieter room night due loud noise children shouting banging doors,1.0
"hotel whole beautiful . staff attentive answer questions . location perfect shopping , restaurants & pubs . gorgeous indoor pool .",1.0
bath shower water hot bath ran really slow,1.0
comfortable beds well appointed . son 's wedding held . everything venue awesome staff brilliant food 🥘 delicious great time,1.0
clean . staff friendly . walking distance town centre,1.0
breakfast great accommodation expected . staff friendly dealt issues immediately . fab location train station shopping areas dining hotel also pleasant experience,1.0
facilities exactly needed,1.0
"room could little cleaner - large sticky stain left top one bedside cabinets water pressure shower could little better , , happy .",1.0
"room spacious bed comfortable . staff polite , efficient friendly . good value money .",1.0
"room nice bathroom clean ,",1.0
"lovely room pool , comfortable clean room . pool area lovely relaxing . disappointed pool action last day . food restaurant quite pricey also .",1.0
warm instead hot water bathroom,0.0
fairly comfortable clean.staff helpful . good resturant menu tasty dishes .,1.0
"friendly staff , especially needed move rooms",1.0
"staff make relaxed hotel . helpful accommodating . n't informed confirmation booking major refurb . kept minimum , although additional noise day . though , n't spoil stay .",1.0
cooked breakfast good .,1.0
"refurbishment arrival booked months advance got told days arrival , conditioner bathroom condiments .",1.0
"bedrooms undergoing refurbishment good thing clean comfortable little tired looking . however price good ! ladies shower area toilets pool basic tired looking ( thankfully showers powerful lots hot water ) . steam room also looked quite tired tiled edges seats looking worn . breakfast great , sausages overcooked dry bacon cold . probably using stoves/ heaters keep things warm . 'm sure 'd mentioned would done something hopefully breakfast provided refurbished restaurant problems disappear . however people breakfast price really good breakfast items ( hash browns , fruit etc plentiful fine ) .",1.0
"bed comfortable heating fully adjustable requirements . staff great particularly alex reception welcoming helpful ready smile . edna waitress also friendly helpful . showers pool area hot powerful , nice long swim . really enjoyed pool able stay long wanted check take advantage .",1.0
heating firsts room working . staff moved us second room witch know fridge . witch great grandson four keepthere drinks . heating working next morning . would stayed bit long used pool . heating room checked soon breakfast .,1.0
"central location , good breakfast choice , adequate gym .",1.0
staff friendly helpful . pool facilities great,1.0
refurbishment undertaken advised booking . work commenced suggested time morning .,0.0
charged breakfasts instead one ... took little argueing put things right . wise everything great .,1.0
"little noise hotel undergoing refurbishments . n't wake us started , n't realize made room .",1.0
"loved facilities , however jacuzzi closed friday night shame . really enjoyed stay thought good value money .",1.0
"availability spa treatments narrow n't allow early late treatment outside working hours . pool hot tub renovation , reason picked hote .",1.0
air conditioning n't working room incredibly hot .,0.0
"lovely clean spacious room , bed comfy , breakfast great staff friendly",1.0
"room clean functional , bed comfy . service friendly helpful . min walk town",1.0
room & breakfast great . informed refurbishment arrival . impact stay would go,1.0
free lemon water bar . cleaner lovely.rooms cleaned beautifully .,1.0
critic might seem minor feel important . cooked breakfast fine . like little brown sauce picked bottle top surround full tired dried brown sauce showed ` wiped cleaned days . small point attention detail important class hotel .,1.0
staff ere extremely helpful friendly . location central stay made trip easy going .,1.0
distance station shops stated booking .com . quite long walk case . got taxi back .,1.0
breakfast good . staff friendly helpful . nice comfy room bathroom . food bar good staff .,1.0
hot breakfast shocking ! ! already sent email regarding !,1.0
"bed really comfy , reception staff friendly welcoming , facilities pool spa excellent !",1.0
pillows lumpy beds small side . shower runs taps lot pressure . happy car parking extra !,1.0
general decor repair room updated parking free customers hotel would perfect place stay .,1.0
impressed excellent breakfast . staff friendly helpful . room two double beds absolutely great families . comfortable beds peaceful sleep . many thanks hotel .,1.0
"jacuzzi really cold . breakfast disgusting price paid small frozen sausages vile chopped hard black pudding , cheap frozen hash browns luke warm beans eggs . stopped services way home everyone hungry . also found parking charge little steep",1.0
breakfast good plenty chose also leisure facilities good,1.0
bath n't clean would liked towel rail loose . felt bar lacked atmosphere seemed sparse .,1.0
loved size room comfy beds . leisure facilities spa great . check simple reception staff friendly,1.0
leisure facilities small size hotel food hotel nice really priced,1.0
nothing n't like basic/average room price good,1.0
"paying parking , hotels area offer free parking .",0.0
breakfast excellent plenty choice staff offered refills tea coffee .,1.0
"friendly staff , really helpful . hotel mins train station , minute walk city centre , also parking facilities .",1.0
"room fitted desk , obviously business use . wife would preferred dressing table mirror hair drying etc .",1.0
large rooms amenities need efficient friendly staff,1.0
"staff bar night time absolutely miserable personality , also breakfast husband waiting good minutes got tea/coffee however another resident got asked straight away businessman got preferable treatment manager even get attention ask drink .",1.0
"husbands birthday got upgraded free , reception staff lovely guy gym/pool reception lovely .",0.0
"room clean comfy , thought restaurant little expensive .",1.0
"slight walk centre , staff breakfast great really n't enough rushed feet . self service tea coffee would made better",1.0
"comfy beds , large room two double beds , great breakfast .",1.0
"good solid hotel building ... spacious bedrooms ..with nice modern bathrooms bath shower ( modern trend hotels move away baths provide showers , , , ,most people like baths ) ... ... .good sized reception ... restaurant bar ... .some lounge area also ... .breakfast good varied content ... ..pool good early swim",1.0
"excellent facilities , staff extremely pleasant , plan return definite .",1.0
sofa bed expecting booked two single beds . little bit let would stop booking . tried book direct unable go booking .com .,1.0
staff helpful . good deal friday night stay . pool great,1.0
problem room booked booking.com - available . however friendly & efficient staff sorted another room us .,1.0
"room extremely hot , making sleeping uncomfortable ! staff breakfast also fairly slow meaning items ran , took replaced ask coffee end 'd forgotten !",1.0
food great affordable ! staff friendly rooms comfortable spacious .,1.0
asked single beds got morning room ready told room beds went check told rooms beds available make sofa bed first time happened booking booking.com,1.0
room warm air conditioning little noisy quite understand refurb due shortly .,1.0
"staff welcoming efficient . excellent breakfast available needed early start . double beds needed family group , always available hotels .",1.0
staff really friend especially guy greeted us rooms comfortable hotel gym pool sauna steamroom jacuzzi great hotel short walk train station would definately return staying leeds .,1.0
